# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.588436889648437500e+01 9.501518011093139648e-01 2.746184468269348145e-01 3.922635912895202637e-01 2.283409833908081055e+00 1.676204109191894531e+01 9.501518011093139648e-01 2.746184468269348145e-01 3.922635912895202637e-01 2.283409833908081055e+00 2.392851352691650391e+00
1.000000000000000000e+03 1.653925180435180664e-01 1.592760682106018066e-01 2.934700436890125275e-02 9.203986823558807373e-02 3.542502820491790771e-01 1.147424876689910889e-01 1.592760682106018066e-01 2.934700436890125275e-02 9.203986823558807373e-02 3.542502820491790771e-01 8.190387487411499023e-01
2.000000000000000000e+03 2.118952386081218719e-02 1.105543300509452820e-01 4.558027908205986023e-02 8.153429627418518066e-02 2.960751056671142578e-01 1.742893643677234650e-02 1.105543300509452820e-01 4.558027908205986023e-02 8.153429627418518066e-02 2.960751056671142578e-01 8.706715106964111328e-01
3.000000000000000000e+03 1.035264320671558380e-02 1.003743037581443787e-01 4.453058540821075439e-02 8.109988272190093994e-02 2.793815732002258301e-01 7.392666768282651901e-03 1.003743037581443787e-01 4.453058540821075439e-02 8.109988272190093994e-02 2.793815732002258301e-01 8.913249373435974121e-01
4.000000000000000000e+03 7.262663450092077255e-03 9.146609157323837280e-02 3.601056337356567383e-02 7.976018637418746948e-02 2.636145949363708496e-01 5.250842776149511337e-03 9.146609157323837280e-02 3.601056337356567383e-02 7.976018637418746948e-02 2.636145949363708496e-01 9.057899713516235352e-01
5.000000000000000000e+03 3.976751584559679031e-03 8.569633215665817261e-02 3.018875047564506531e-02 7.946333289146423340e-02 2.544079422950744629e-01 2.995305927470326424e-03 8.569633215665817261e-02 3.018875047564506531e-02 7.946333289146423340e-02 2.544079422950744629e-01 9.135949611663818359e-01
6.000000000000000000e+03 1.994817750528454781e-03 8.353992551565170288e-02 2.648785896599292755e-02 7.955717295408248901e-02 2.518419027328491211e-01 1.399333472363650799e-03 8.353992551565170288e-02 2.648785896599292755e-02 7.955717295408248901e-02 2.518419027328491211e-01 9.142176508903503418e-01
7.000000000000000000e+03 1.405120827257633209e-03 8.211225271224975586e-02 2.414944209158420563e-02 7.944642752408981323e-02 2.512363493442535400e-01 1.040499075315892696e-03 8.211225271224975586e-02 2.414944209158420563e-02 7.944642752408981323e-02 2.512363493442535400e-01 9.109673500061035156e-01
8.000000000000000000e+03 9.803938446566462517e-04 8.123241364955902100e-02 2.273824252188205719e-02 7.934868335723876953e-02 2.512487769126892090e-01 8.806169498711824417e-04 8.123241364955902100e-02 2.273824252188205719e-02 7.934868335723876953e-02 2.512487769126892090e-01 9.085112214088439941e-01
9.000000000000000000e+03 1.076697371900081635e-03 8.082009106874465942e-02 2.219264023005962372e-02 7.929296046495437622e-02 2.512075901031494141e-01 1.034441753290593624e-03 8.082009106874465942e-02 2.219264023005962372e-02 7.929296046495437622e-02 2.512075901031494141e-01 9.000717997550964355e-01
1.000000000000000000e+04 4.793024272657930851e-04 8.045372366905212402e-02 2.148987911641597748e-02 7.930096983909606934e-02 2.517110407352447510e-01 6.049455259926617146e-04 8.045372366905212402e-02 2.148987911641597748e-02 7.930096983909606934e-02 2.517110407352447510e-01 9.048696160316467285e-01
